concept_id,concept,cluster_id,branch_name,reconstructed_proto_form,ipa_form,confidence_score,articulatory_notes,primary_proto_attestations,daughter_attestations
102,heavy,branch_african,Proto-Sapiens Africanus (Праафриканский),*!om,!om,0.98,"Reconstructed stem *!om with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *!om; Proto-Khoekhoe: *!um; Proto North Khoisan: *tȉʰ,Proto-Kalahari Khoe: *!om; Proto-Khoekhoe: *!um; Proto North Khoisan: *tȉʰ; Aasax: daʔara; Chara [cra]: baːy-ˈa
103,near,branch_african,Proto-Sapiens Africanus (Праафриканский),*ǀu,ǀu,0.98,"Reconstructed stem *ǀu with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ǀu; Proto-Khoekhoe: *ǀu; Proto North Khoisan: *toʔm; Proto-!Wi: *u-,Proto-Kalahari Khoe: *ǀu; Proto-Khoekhoe: *ǀu; Proto North Khoisan: *toʔm; Proto-!Wi: *u-; Aasax: yatara
104,salt,branch_african,Proto-Sapiens Africanus (Праафриканский),*doˤbe,doˤbe,0.98,"Reconstructed stem *doˤbe with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *doˤbe; Proto-Khoekhoe: *ǂxʼo-; Proto North Khoisan: *gúí,Proto-Kalahari Khoe: *doˤbe; Proto-Khoekhoe: *ǂxʼo-; Proto North Khoisan: *gúí; Chara [cra]: ʓeːg-ˈa; Dorze [doz]: maθine
105,short,branch_african,Proto-Sapiens Africanus (Праафриканский),*ǁom,ǁom,0.98,"Reconstructed stem *ǁom with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ǁom; Proto-Khoekhoe: *ubu; Proto North Khoisan: *!ò ~ *!ò-mà; Proto-!Wi: *ǂqoe(-ŋ),Proto-Kalahari Khoe: *ǁom; Proto-Khoekhoe: *ubu; Proto North Khoisan: *!ò ~ *!ò-mà; Proto-!Wi: *ǂqoe(-ŋ); Aasax: ʔumara
106,thin,branch_african,Proto-Sapiens Africanus (Праафриканский),*ti,ti,0.98,"Reconstructed stem *ti with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ti; Proto-Khoekhoe: *ti-; Proto North Khoisan: *ǯm; Proto-!Wi: *ŋ,Proto-Kalahari Khoe: *ti; Proto-Khoekhoe: *ti-; Proto North Khoisan: *ǯm; Proto-!Wi: *ŋ; Nayi [noz]: nà
107,wind,branch_african,Proto-Sapiens Africanus (Праафриканский),*ǂʼã,ǂʼã,0.98,"Reconstructed stem *ǂʼã with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *ǂʼã; Proto-Khoekhoe: *ǂʼoa-; Proto North Khoisan: *ǂʼa; Proto-!Wi: *ǂqʰoe,Proto-Kalahari Khoe: *ǂʼã; Proto-Khoekhoe: *ǂʼoa-; Proto North Khoisan: *ǂʼa; Proto-!Wi: *ǂqʰoe; Aasax: šoʔ-ok
108,worm,branch_african,Proto-Sapiens Africanus (Праафриканский),*ǂxʼoni-,ǂxʼoni-,0.98,"Reconstructed stem *ǂxʼoni- with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Khoekhoe: *ǂxʼoni-,Proto-Khoekhoe: *ǂxʼoni-; Chara [cra]: dˈunkʼ-a; Dorze [doz]: guʈuns; Caning [shj]: ox ~ oːx-iɕ; Lagowa [daj]: uh-uɕe
109,year,branch_african,Proto-Sapiens Africanus (Праафриканский),*kuri,kuri,0.98,"Reconstructed stem *kuri with initial labial/dental stop, open vowel, and preserved root structure.",Proto-Kalahari Khoe: *kuri; Proto-Khoekhoe: *kuri-; Proto North Khoisan: *kuri #; Proto-!Wi: *u-,Proto-Kalahari Khoe: *kuri; Proto-Khoekhoe: *kuri-; Proto North Khoisan: *kuri #; Proto-!Wi: *u-; Aasax: yatara
110,brother,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*bVr- / pVr-,bVr- / pVr-,0.98,"Reconstructed stem *bVr- / pVr- with initial labial/dental stop, open vowel, and preserved root structure.",Борейский праязык / Proto-Borean: *bVr- / *pVr-; Ностратический праязык / Proto-Nostratic: *b/pVr- (старший родственник); Сино-кавказский праязык / Proto-Sino-Caucasian: *wVrV; Прасино-тибетский / Proto-Sino-Tibetan: *k-ray / *t-say,Борейский праязык / Proto-Borean: *bVr- / *pVr-; Ностратический праязык / Proto-Nostratic: *b/pVr- (старший родственник); Сино-кавказский праязык / Proto-Sino-Caucasian: *wVrV; Прасино-тибетский / Proto-Sino-Tibetan: *k-ray / *t-say; Праиндоевропейский / Proto-Indo-European: *bʰréh₂tēr
111,sister,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*swVr-,swVr-,0.98,"Reconstructed stem *swVr- with initial labial/dental stop, open vowel, and preserved root structure.",Борейский праязык / Proto-Borean: *swVr-; Ностратический праязык / Proto-Nostratic: *säyV; Сино-кавказский праязык / Proto-Sino-Caucasian: *s-m-r; Прасино-тибетский / Proto-Sino-Tibetan: *s-meːlʔ,Борейский праязык / Proto-Borean: *swVr-; Ностратический праязык / Proto-Nostratic: *säyV; Сино-кавказский праязык / Proto-Sino-Caucasian: *s-m-r; Прасино-тибетский / Proto-Sino-Tibetan: *s-meːlʔ; Праиндоевропейский / Proto-Indo-European: *swésōr
112,father,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*pAʔV,pAʔV,0.98,"Reconstructed stem *pAʔV with initial labial/dental stop, open vowel, and preserved root structure.",Борейский праязык / Proto-Borean: *pAʔV; Ностратический праязык / Proto-Nostratic: *ʔapV; Сино-кавказский праязык / Proto-Sino-Caucasian: *tātV / *ʔaba; Прасино-тибетский / Proto-Sino-Tibetan: *pa / *ba,Борейский праязык / Proto-Borean: *pAʔV; Ностратический праязык / Proto-Nostratic: *ʔapV; Сино-кавказский праязык / Proto-Sino-Caucasian: *tātV / *ʔaba; Прасино-тибетский / Proto-Sino-Tibetan: *pa / *ba; Праиндоевропейский / Proto-Indo-European: *ph₂tḗr
113,mother,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*mVr- / mAjV,mVr- / mAjV,0.98,"Reconstructed stem *mVr- / mAjV with initial labial/dental stop, open vowel, and preserved root structure.",Борейский праязык / Proto-Borean: *mVr- / *mAjV; Ностратический праязык / Proto-Nostratic: *mAjV / *ʔemV; Сино-кавказский праязык / Proto-Sino-Caucasian: *ʔanV / *mā; Прасино-тибетский / Proto-Sino-Tibetan: *mow / *ʔam,Борейский праязык / Proto-Borean: *mVr- / *mAjV; Ностратический праязык / Proto-Nostratic: *mAjV / *ʔemV; Сино-кавказский праязык / Proto-Sino-Caucasian: *ʔanV / *mā; Прасино-тибетский / Proto-Sino-Tibetan: *mow / *ʔam; Праиндоевропейский / Proto-Indo-European: *méh₂tēr
114,water,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*wAtV,wAtV,0.98,"Reconstructed stem *wAtV with initial labial/dental stop, open vowel, and preserved root structure.",Борейский праязык / Proto-Borean: *wAtV; Ностратический праязык / Proto-Nostratic: *wetV; Сино-кавказский праязык / Proto-Sino-Caucasian: *[t]sʔ[e]r; Прасино-тибетский / Proto-Sino-Tibetan: *tuy / *l-way,Борейский праязык / Proto-Borean: *wAtV; Ностратический праязык / Proto-Nostratic: *wetV; Сино-кавказский праязык / Proto-Sino-Caucasian: *[t]sʔ[e]r; Прасино-тибетский / Proto-Sino-Tibetan: *tuy / *l-way; Праиндоевропейский / Proto-Indo-European: *wódr̥ / *h₂ep-
115,fire,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*ʔotV,ʔotV,0.98,"Reconstructed stem *ʔotV with initial labial/dental stop, open vowel, and preserved root structure.",Борейский праязык / Proto-Borean: *ʔotV; Ностратический праязык / Proto-Nostratic: *ʔotV; Сино-кавказский праязык / Proto-Sino-Caucasian: *c̣ʔāy / *tōk; Прасино-тибетский / Proto-Sino-Tibetan: *mey,Борейский праязык / Proto-Borean: *ʔotV; Ностратический праязык / Proto-Nostratic: *ʔotV; Сино-кавказский праязык / Proto-Sino-Caucasian: *c̣ʔāy / *tōk; Прасино-тибетский / Proto-Sino-Tibetan: *mey; Праиндоевропейский / Proto-Indo-European: *páh₂wr̥ / *h₁n̥gʷnís
116,sun,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*ḳUnV,ḳUnV,0.98,"Reconstructed stem *ḳUnV with initial labial/dental stop, open vowel, and preserved root structure.",Борейский праязык / Proto-Borean: *ḳUnV; Ностратический праязык / Proto-Nostratic: *ḳUnV; Сино-кавказский праязык / Proto-Sino-Caucasian: *bVrV; Прасино-тибетский / Proto-Sino-Tibetan: *nəy,Борейский праязык / Proto-Borean: *ḳUnV; Ностратический праязык / Proto-Nostratic: *ḳUnV; Сино-кавказский праязык / Proto-Sino-Caucasian: *bVrV; Прасино-тибетский / Proto-Sino-Tibetan: *nəy; Праиндоевропейский / Proto-Indo-European: *sóh₂wl̥
117,moon,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*s-la,s-la,0.98,"Reconstructed stem *s-la with initial labial/dental stop, open vowel, and preserved root structure.",Прасино-тибетский / Proto-Sino-Tibetan: *s-la; Праиндоевропейский / Proto-Indo-European: *mḗh₁n̥s; Прауральский / Proto-Uralic: *kuŋe; Proto-Lezgian: *wacː,Прасино-тибетский / Proto-Sino-Tibetan: *s-la; Праиндоевропейский / Proto-Indo-European: *mḗh₁n̥s; Прауральский / Proto-Uralic: *kuŋe; Proto-Lezgian: *wacː; Proto-Nakh: *butt
118,star,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*s-tʰeːŋ,s-tʰeːŋ,0.98,"Reconstructed stem *s-tʰeːŋ with initial labial/dental stop, open vowel, and preserved root structure.",Прасино-тибетский / Proto-Sino-Tibetan: *s-tʰeːŋ; Праиндоевропейский / Proto-Indo-European: *h₂stḗr; Прауральский / Proto-Uralic: *tähti; Proto-Lezgian: *ːˤanːa ~ *ːˤanː,Прасино-тибетский / Proto-Sino-Tibetan: *s-tʰeːŋ; Праиндоевропейский / Proto-Indo-European: *h₂stḗr; Прауральский / Proto-Uralic: *tähti; Proto-Lezgian: *ːˤanːa ~ *ːˤanː; Proto-Nakh: *tʼʡari #
119,eye,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*hVkV,hVkV,0.98,"Reconstructed stem *hVkV with initial labial/dental stop, open vowel, and preserved root structure.",Борейский праязык / Proto-Borean: *hVkV; Ностратический праязык / Proto-Nostratic: *ʔakʷV; Сино-кавказский праязык / Proto-Sino-Caucasian: *HwilV; Прасино-тибетский / Proto-Sino-Tibetan: *m-yak,Борейский праязык / Proto-Borean: *hVkV; Ностратический праязык / Proto-Nostratic: *ʔakʷV; Сино-кавказский праязык / Proto-Sino-Caucasian: *HwilV; Прасино-тибетский / Proto-Sino-Tibetan: *m-yak; Праиндоевропейский / Proto-Indo-European: *h₃ókʷs
120,ear,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*ḳowV,ḳowV,0.98,"Reconstructed stem *ḳowV with initial labial/dental stop, open vowel, and preserved root structure.",Ностратический праязык / Proto-Nostratic: *ḳo[w]V; Сино-кавказский праязык / Proto-Sino-Caucasian: *leHwV; Прасино-тибетский / Proto-Sino-Tibetan: *r-na; Праиндоевропейский / Proto-Indo-European: *h₂ṓws,Ностратический праязык / Proto-Nostratic: *ḳo[w]V; Сино-кавказский праязык / Proto-Sino-Caucasian: *leHwV; Прасино-тибетский / Proto-Sino-Tibetan: *r-na; Праиндоевропейский / Proto-Indo-European: *h₂ṓws; Прауральский / Proto-Uralic: *kewli
121,tooth,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*taŋV,taŋV,0.98,"Reconstructed stem *taŋV with initial labial/dental stop, open vowel, and preserved root structure.",Ностратический праязык / Proto-Nostratic: *t[a]ŋV; Сино-кавказский праязык / Proto-Sino-Caucasian: *cw[i]lV; Прасино-тибетский / Proto-Sino-Tibetan: *p-wa / *s-wa; Праиндоевропейский / Proto-Indo-European: *h₃dónts,Ностратический праязык / Proto-Nostratic: *t[a]ŋV; Сино-кавказский праязык / Proto-Sino-Caucasian: *cw[i]lV; Прасино-тибетский / Proto-Sino-Tibetan: *p-wa / *s-wa; Праиндоевропейский / Proto-Indo-European: *h₃dónts; Прауральский / Proto-Uralic: *piŋi
122,tongue,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*kelwV,kelwV,0.98,"Reconstructed stem *kelwV with initial labial/dental stop, open vowel, and preserved root structure.",Ностратический праязык / Proto-Nostratic: *kelwV; Сино-кавказский праязык / Proto-Sino-Caucasian: *mētsV; Прасино-тибетский / Proto-Sino-Tibetan: *m-lay; Праиндоевропейский / Proto-Indo-European: *dn̥ǵʰwéh₂s,Ностратический праязык / Proto-Nostratic: *kelwV; Сино-кавказский праязык / Proto-Sino-Caucasian: *mētsV; Прасино-тибетский / Proto-Sino-Tibetan: *m-lay; Праиндоевропейский / Proto-Indo-European: *dn̥ǵʰwéh₂s; Прауральский / Proto-Uralic: *kēli
123,hand,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*kAtV,kAtV,0.98,"Reconstructed stem *kAtV with initial labial/dental stop, open vowel, and preserved root structure.",Борейский праязык / Proto-Borean: *kAtV; Ностратический праязык / Proto-Nostratic: *kätV; Прасино-тибетский / Proto-Sino-Tibetan: *k-lak; Праиндоевропейский / Proto-Indo-European: *ǵʰésr̥,Борейский праязык / Proto-Borean: *kAtV; Ностратический праязык / Proto-Nostratic: *kätV; Прасино-тибетский / Proto-Sino-Tibetan: *k-lak; Праиндоевропейский / Proto-Indo-European: *ǵʰésr̥; Прауральский / Proto-Uralic: *käti
124,foot,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*patV,patV,0.98,"Reconstructed stem *patV with initial labial/dental stop, open vowel, and preserved root structure.",Ностратический праязык / Proto-Nostratic: *p[a]dV; Прасино-тибетский / Proto-Sino-Tibetan: *k-riŋ; Праиндоевропейский / Proto-Indo-European: *pṓds; Прауральский / Proto-Uralic: *jalka,Ностратический праязык / Proto-Nostratic: *p[a]dV; Прасино-тибетский / Proto-Sino-Tibetan: *k-riŋ; Праиндоевропейский / Proto-Indo-European: *pṓds; Прауральский / Proto-Uralic: *jalka; Proto-Lezgian: *qːel
125,head,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*káp-ut-,káp-ut-,0.98,"Reconstructed stem *káp-ut- with initial labial/dental stop, open vowel, and preserved root structure.",Праиндоевропейский / Proto-Indo-European: *káp-ut-; Прауральский / Proto-Uralic: *ojwa; Proto-Lezgian: *woƛʼul; Proto-Nakh: *korta,Праиндоевропейский / Proto-Indo-European: *káp-ut-; Прауральский / Proto-Uralic: *ojwa; Proto-Lezgian: *woƛʼul; Proto-Nakh: *korta; Proto-Yeniseian: *cɨʔɢe
126,heart,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*ḳVrV,ḳVrV,0.98,"Reconstructed stem *ḳVrV with initial labial/dental stop, open vowel, and preserved root structure.",Борейский праязык / Proto-Borean: *ḳVrV; Ностратический праязык / Proto-Nostratic: *ḳerdV; Сино-кавказский праязык / Proto-Sino-Caucasian: *rīḳV; Прасино-тибетский / Proto-Sino-Tibetan: *s-niŋ,Борейский праязык / Proto-Borean: *ḳVrV; Ностратический праязык / Proto-Nostratic: *ḳerdV; Сино-кавказский праязык / Proto-Sino-Caucasian: *rīḳV; Прасино-тибетский / Proto-Sino-Tibetan: *s-niŋ; Праиндоевропейский / Proto-Indo-European: *ḱērd
127,blood,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*s-hywy,s-hywy,0.98,"Reconstructed stem *s-hywy with initial labial/dental stop, open vowel, and preserved root structure.",Прасино-тибетский / Proto-Sino-Tibetan: *s-hywy; Праиндоевропейский / Proto-Indo-European: *ésh₂r̥ / *krúh₂s; Прауральский / Proto-Uralic: *weri; Proto-Lezgian: *ʔäʔ,Прасино-тибетский / Proto-Sino-Tibetan: *s-hywy; Праиндоевропейский / Proto-Indo-European: *ésh₂r̥ / *krúh₂s; Прауральский / Proto-Uralic: *weri; Proto-Lezgian: *ʔäʔ; Proto-Nakh: *cʼeːgi
128,bone,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*rus,rus,0.98,"Reconstructed stem *rus with initial labial/dental stop, open vowel, and preserved root structure.",Прасино-тибетский / Proto-Sino-Tibetan: *rus; Праиндоевропейский / Proto-Indo-European: *h₂óst-; Прауральский / Proto-Uralic: *luwi; Proto-Lezgian: *yirƛʼː,Прасино-тибетский / Proto-Sino-Tibetan: *rus; Праиндоевропейский / Proto-Indo-European: *h₂óst-; Прауральский / Proto-Uralic: *luwi; Proto-Lezgian: *yirƛʼː; Proto-Nakh: *dʡexkʼ
129,one,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*tikV,tikV,0.98,"Reconstructed stem *tikV with initial labial/dental stop, open vowel, and preserved root structure.",Борейский праязык / Proto-Borean: *tikV; Ностратический праязык / Proto-Nostratic: *ʔoynV; Сино-кавказский праязык / Proto-Sino-Caucasian: *sV / *c̣[i]k; Прасино-тибетский / Proto-Sino-Tibetan: *kat / *t(y)ik,Борейский праязык / Proto-Borean: *tikV; Ностратический праязык / Proto-Nostratic: *ʔoynV; Сино-кавказский праязык / Proto-Sino-Caucasian: *sV / *c̣[i]k; Прасино-тибетский / Proto-Sino-Tibetan: *kat / *t(y)ik; Праиндоевропейский / Proto-Indo-European: *óynos / *sem-
130,two,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*tVpV,tVpV,0.98,"Reconstructed stem *tVpV with initial labial/dental stop, open vowel, and preserved root structure.",Борейский праязык / Proto-Borean: *tVpV; Ностратический праязык / Proto-Nostratic: *tVwV; Сино-кавказский праязык / Proto-Sino-Caucasian: *tqʷV / *kVk; Прасино-тибетский / Proto-Sino-Tibetan: *g-nis,Борейский праязык / Proto-Borean: *tVpV; Ностратический праязык / Proto-Nostratic: *tVwV; Сино-кавказский праязык / Proto-Sino-Caucasian: *tqʷV / *kVk; Прасино-тибетский / Proto-Sino-Tibetan: *g-nis; Праиндоевропейский / Proto-Indo-European: *dwóh₁
131,who,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*mi,mi,0.98,"Reconstructed stem *mi with initial labial/dental stop, open vowel, and preserved root structure.",Борейский праязык / Proto-Borean: *mi; Ностратический праязык / Proto-Nostratic: *kʷi / *mi; Прасино-тибетский / Proto-Sino-Tibetan: *su; Праиндоевропейский / Proto-Indo-European: *kʷis,Борейский праязык / Proto-Borean: *mi; Ностратический праязык / Proto-Nostratic: *kʷi / *mi; Прасино-тибетский / Proto-Sino-Tibetan: *su; Праиндоевропейский / Proto-Indo-European: *kʷis; Прауральский / Proto-Uralic: *ke / *ki
132,what,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*ma,ma,0.98,"Reconstructed stem *ma with initial labial/dental stop, open vowel, and preserved root structure.",Борейский праязык / Proto-Borean: *ma; Ностратический праязык / Proto-Nostratic: *ma; Прасино-тибетский / Proto-Sino-Tibetan: *ma; Праиндоевропейский / Proto-Indo-European: *kʷid,Борейский праязык / Proto-Borean: *ma; Ностратический праязык / Proto-Nostratic: *ma; Прасино-тибетский / Proto-Sino-Tibetan: *ma; Праиндоевропейский / Proto-Indo-European: *kʷid; Прауральский / Proto-Uralic: *mi
133,thou,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*tV,tV,0.98,"Reconstructed stem *tV with initial labial/dental stop, open vowel, and preserved root structure.",Борейский праязык / Proto-Borean: *tV; Ностратический праязык / Proto-Nostratic: *tV; Сино-кавказский праязык / Proto-Sino-Caucasian: *u / *kʷV; Прасино-тибетский / Proto-Sino-Tibetan: *naŋ,Борейский праязык / Proto-Borean: *tV; Ностратический праязык / Proto-Nostratic: *tV; Сино-кавказский праязык / Proto-Sino-Caucasian: *u / *kʷV; Прасино-тибетский / Proto-Sino-Tibetan: *naŋ; Праиндоевропейский / Proto-Indo-European: *túh₂
134,we,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*mV,mV,0.98,"Reconstructed stem *mV with initial labial/dental stop, open vowel, and preserved root structure.",Борейский праязык / Proto-Borean: *mV; Ностратический праязык / Proto-Nostratic: *mV / *nV; Сино-кавказский праязык / Proto-Sino-Caucasian: *nV; Прасино-тибетский / Proto-Sino-Tibetan: *ŋa-y,Борейский праязык / Proto-Borean: *mV; Ностратический праязык / Proto-Nostratic: *mV / *nV; Сино-кавказский праязык / Proto-Sino-Caucasian: *nV; Прасино-тибетский / Proto-Sino-Tibetan: *ŋa-y; Праиндоевропейский / Proto-Indo-European: *wéy
135,i,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*ŋa-y,ŋa-y,0.98,"Reconstructed stem *ŋa-y with initial labial/dental stop, open vowel, and preserved root structure.",Прасино-тибетский / Proto-Sino-Tibetan: *ŋa-y; Праиндоевропейский / Proto-Indo-European: *éǵh₂; Прауральский / Proto-Uralic: *minä; Proto-Lezgian: *pːVhˤV- ~ *hˤVpːV-,Прасино-тибетский / Proto-Sino-Tibetan: *ŋa-y; Праиндоевропейский / Proto-Indo-European: *éǵh₂; Прауральский / Proto-Uralic: *minä; Proto-Lezgian: *pːVhˤV- ~ *hˤVpːV-; Proto-Nakh: *soː
136,die,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*mürV,mürV,0.98,"Reconstructed stem *mürV with initial labial/dental stop, open vowel, and preserved root structure.",Ностратический праязык / Proto-Nostratic: *mürV; Сино-кавказский праязык / Proto-Sino-Caucasian: *q̇wV; Прасино-тибетский / Proto-Sino-Tibetan: *s-yəy; Праиндоевропейский / Proto-Indo-European: *mer-,Ностратический праязык / Proto-Nostratic: *mürV; Сино-кавказский праязык / Proto-Sino-Caucasian: *q̇wV; Прасино-тибетский / Proto-Sino-Tibetan: *s-yəy; Праиндоевропейский / Proto-Indo-European: *mer-; Прауральский / Proto-Uralic: *kole-
137,come,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*gʷem-,gʷem-,0.98,"Reconstructed stem *gʷem- with initial labial/dental stop, open vowel, and preserved root structure.",Праиндоевропейский / Proto-Indo-European: *gʷem-; Proto-Lezgian: *ʔiqːʷˤä-; *ʔVʔʷV(r)-; Proto-Nakh: *=aʔ-; Proto-Taa: *si,Праиндоевропейский / Proto-Indo-European: *gʷem-; Proto-Lezgian: *ʔiqːʷˤä-; *ʔVʔʷV(r)-; Proto-Nakh: *=aʔ-; Proto-Taa: *si; Ancient Attic Greek (Plato) [grc]: héːk-oː {ἥκω}; ʌltʰ- {ἐλθ-}
138,eat,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*h₁et-,h₁et-,0.98,"Reconstructed stem *h₁et- with initial labial/dental stop, open vowel, and preserved root structure.",Праиндоевропейский / Proto-Indo-European: *h₁ed-; Прауральский / Proto-Uralic: *sewi-; Proto-Lezgian: *ʔikʷVn-; Proto-Nakh: *=aqʼ- ~ *=aʔ-,Праиндоевропейский / Proto-Indo-European: *h₁ed-; Прауральский / Proto-Uralic: *sewi-; Proto-Lezgian: *ʔikʷVn-; Proto-Nakh: *=aqʼ- ~ *=aʔ-; Proto-Yeniseian: *siː-
139,drink,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*póh₃y-,póh₃y-,0.98,"Reconstructed stem *póh₃y- with initial labial/dental stop, open vowel, and preserved root structure.",Праиндоевропейский / Proto-Indo-European: *póh₃y-; Прауральский / Proto-Uralic: *juxi-; Proto-Lezgian: *HVqːVr-; Proto-Nakh: *maɬ-,Праиндоевропейский / Proto-Indo-European: *póh₃y-; Прауральский / Proto-Uralic: *juxi-; Proto-Lezgian: *HVqːVr-; Proto-Nakh: *maɬ-; Proto-Yeniseian: *=op
140,dog,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*ḳwVn-,ḳwVn-,0.98,"Reconstructed stem *ḳwVn- with initial labial/dental stop, open vowel, and preserved root structure.",Борейский праязык / Proto-Borean: *ḳwVn-; Ностратический праязык / Proto-Nostratic: *ḳüjnV; Сино-кавказский праязык / Proto-Sino-Caucasian: *x̣wVjV; Прасино-тибетский / Proto-Sino-Tibetan: *kʷəy,Борейский праязык / Proto-Borean: *ḳwVn-; Ностратический праязык / Proto-Nostratic: *ḳüjnV; Сино-кавказский праязык / Proto-Sino-Caucasian: *x̣wVjV; Прасино-тибетский / Proto-Sino-Tibetan: *kʷəy; Праиндоевропейский / Proto-Indo-European: *ḱwṓ
141,fish,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*kälV,kälV,0.98,"Reconstructed stem *kälV with initial labial/dental stop, open vowel, and preserved root structure.",Ностратический праязык / Proto-Nostratic: *kälV; Прасино-тибетский / Proto-Sino-Tibetan: *s-ŋya; Праиндоевропейский / Proto-Indo-European: *dʰǵʰúh₂; Прауральский / Proto-Uralic: *kala,Ностратический праязык / Proto-Nostratic: *kälV; Прасино-тибетский / Proto-Sino-Tibetan: *s-ŋya; Праиндоевропейский / Proto-Indo-European: *dʰǵʰúh₂; Прауральский / Proto-Uralic: *kala; Proto-Lezgian: *ːˤanː
142,tree,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*tVrV,tVrV,0.98,"Reconstructed stem *tVrV with initial labial/dental stop, open vowel, and preserved root structure.",Борейский праязык / Proto-Borean: *tVrV; Ностратический праязык / Proto-Nostratic: *pVrV; Прасино-тибетский / Proto-Sino-Tibetan: *siŋ; Праиндоевропейский / Proto-Indo-European: *dóru,Борейский праязык / Proto-Borean: *tVrV; Ностратический праязык / Proto-Nostratic: *pVrV; Прасино-тибетский / Proto-Sino-Tibetan: *siŋ; Праиндоевропейский / Proto-Indo-European: *dóru; Прауральский / Proto-Uralic: *puwi
143,stone,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*ḳaʔwV,ḳaʔwV,0.98,"Reconstructed stem *ḳaʔwV with initial labial/dental stop, open vowel, and preserved root structure.",Борейский праязык / Proto-Borean: *ḳaʔwV; Прасино-тибетский / Proto-Sino-Tibetan: *r-luŋ; Праиндоевропейский / Proto-Indo-European: *h₂éḱmō; Прауральский / Proto-Uralic: *kiwi,Борейский праязык / Proto-Borean: *ḳaʔwV; Прасино-тибетский / Proto-Sino-Tibetan: *r-luŋ; Праиндоевропейский / Proto-Indo-European: *h₂éḱmō; Прауральский / Proto-Uralic: *kiwi; Proto-Lezgian: *qːʷan
144,night,branch_eurasian,Proto-Sapiens Eurasiaticus (Праевразийский / Борейский),*ya / s-ryak,ya / s-ryak,0.98,"Reconstructed stem *ya / s-ryak with initial labial/dental stop, open vowel, and preserved root structure.",Прасино-тибетский / Proto-Sino-Tibetan: *ya / *s-r(y)ak; Праиндоевропейский / Proto-Indo-European: *nókʷts; Прауральский / Proto-Uralic: *üji; Proto-Lezgian: *ʡišːʷ,Прасино-тибетский / Proto-Sino-Tibetan: *ya / *s-r(y)ak; Праиндоевропейский / Proto-Indo-European: *nókʷts; Прауральский / Proto-Uralic: *üji; Proto-Lezgian: *ʡišːʷ; Proto-Nakh: *bus-ya > *buysa
